followers,following,is_public,post_count,story_freq,city_tier,party_freq,cafe_freq,travel_freq,gym_freq,is_influencer,dm_open,toxic_ex,daddy_issues,mommy_issues,therapy_issues,situationship_lore,soft_launch_history,astrology_phase,friend_circle_size,spotify_vibe,random_chaos,bio_type,body_count
7320,578,0,82,3,2,5,2,4,3,0,1,0,0,1,0,0,0,0,2,3,0.4066546403888057,0,8
910,2030,0,576,0,2,4,3,1,5,0,0,0,1,0,0,0,0,1,1,1,0.7459645676609545,1,4
5440,2219,0,451,3,1,3,1,3,1,0,1,0,1,1,1,0,0,1,2,3,0.3188912496468319,0,10
13468,2989,1,2,4,1,3,4,3,3,0,1,0,0,1,1,1,1,0,2,1,0.5060585911381366,0,19
5241,2107,0,455,0,1,0,0,2,5,1,0,1,0,0,1,0,0,1,1,3,0.2393298912984041,1,13
12014,1389,1,235,2,1,4,4,1,4,0,1,1,1,1,0,0,0,0,1,2,0.9966145502329801,0,17
11334,2935,1,388,1,3,4,0,1,2,0,1,0,1,1,1,1,1,0,2,1,0.4799865673651179,0,15
5784,1346,1,392,3,1,1,4,5,2,1,1,0,0,0,1,0,1,0,3,4,0.48233249798545696,1,15
6315,1379,1,640,1,2,1,0,4,5,1,1,0,1,1,1,0,1,0,3,1,0.5238604339404359,2,15
516,1283,0,758,4,1,3,2,1,2,1,1,1,1,0,0,1,0,0,2,3,0.6816958352535433,0,15
13576,2031,0,746,0,3,5,0,0,2,0,0,0,1,0,1,0,1,1,2,2,0.9475994823686477,0,12
4476,1803,1,29,5,3,3,0,3,0,0,0,1,1,0,0,1,0,0,2,4,0.027763175082206715,1,14
5628,2850,0,582,2,3,2,3,5,3,1,0,1,1,1,0,1,1,1,3,1,0.24027660282136176,1,15
14473,2983,1,147,0,2,3,3,3,0,1,0,0,0,1,0,0,0,0,2,3,0.9932073518831778,1,12
11686,2561,1,604,5,1,1,0,5,2,0,0,1,1,0,1,1,1,1,1,3,0.3309612092089814,1,18
11413,2809,0,282,1,1,0,0,5,2,0,0,1,1,0,0,0,0,1,1,0,0.20155765791276292,1,10
11161,2825,1,728,1,2,2,1,2,4,1,0,0,1,0,0,0,1,1,1,3,0.7685852194191009,2,14
8372,2814,0,237,2,3,3,2,1,1,1,1,0,1,0,1,1,1,0,3,2,0.42307445844428626,2,19
1735,1998,1,738,5,2,1,0,3,2,1,0,0,1,0,0,1,1,0,1,3,0.8739822834141335,0,13
819,2177,1,730,5,2,5,0,1,0,1,0,1,0,1,0,0,0,0,3,3,0.8125827222847016,2,12
10633,2577,1,318,2,3,2,2,4,5,1,0,1,0,0,0,1,1,0,2,2,0.6276521074351546,1,19
13853,951,1,336,0,2,0,1,3,0,1,0,0,1,0,0,1,0,1,3,0,0.7456013117560174,0,14
6999,940,0,30,3,2,0,5,1,5,0,1,1,0,1,1,1,0,0,2,3,0.1647909010270201,2,15
2483,1620,1,625,0,1,5,3,1,0,0,0,0,1,0,1,1,1,0,3,2,0.9500401034176226,2,17
5361,1874,1,613,1,1,1,3,5,4,1,0,1,1,1,0,1,0,0,2,0,0.4229214004523467,0,19
5101,2115,0,604,0,2,4,2,2,0,0,0,0,0,0,1,0,0,1,1,2,0.527858200138399,2,12
6470,1238,1,206,4,3,5,0,3,5,0,1,1,0,0,0,0,0,0,2,3,0.018722129313395786,0,14
1234,1598,1,228,0,2,1,5,0,3,1,0,0,1,1,0,0,0,1,2,0,0.3476324892373246,2,8
4605,251,1,582,0,2,1,3,5,5,1,1,0,1,0,1,1,0,1,1,4,0.5653903286632089,0,11
3435,790,1,341,5,1,1,0,3,3,1,0,0,1,1,0,0,0,1,3,2,0.46989410282393274,0,10
12359,1419,1,459,4,2,4,4,4,4,1,1,1,0,0,1,0,0,0,3,2,0.6774947020011484,2,19
6446,1439,1,135,1,1,3,0,1,3,0,0,1,1,1,0,0,1,0,1,0,0.15821641383783625,0,18
13085,2050,0,283,2,3,3,3,3,5,0,0,1,1,0,0,0,0,1,2,2,0.0109248365434913,0,9
11146,1521,1,350,0,2,0,0,1,4,0,0,1,0,1,1,1,1,0,2,0,0.6847763911348675,2,16
8716,1586,0,16,3,2,3,5,2,4,1,1,1,0,1,0,0,1,1,2,1,0.7194881185852252,2,16
9324,368,1,214,5,1,1,0,2,4,1,0,0,1,1,1,0,1,0,3,2,0.15291711075020487,0,17
2608,2314,0,394,5,2,5,5,3,5,0,1,1,1,0,1,1,1,0,3,2,0.9696667575792959,1,15
7899,1107,0,398,2,1,3,1,2,5,0,1,0,0,0,0,1,0,1,2,3,0.07146050727984454,2,18
2097,1944,0,413,3,1,4,1,5,3,1,0,0,0,1,0,1,0,0,2,3,0.5220194592976735,2,17
2797,2363,0,243,0,2,5,5,1,5,0,1,1,1,1,1,0,1,1,2,2,0.6592820225768468,0,12
9217,773,1,94,3,2,3,0,4,2,1,1,0,0,1,1,0,0,0,3,2,0.5156766230592871,0,13
10048,2872,1,632,5,1,1,2,5,3,1,0,1,1,1,0,0,0,0,1,2,0.5430722587142757,0,14
239,1750,1,5,2,3,3,2,3,4,0,1,1,1,0,1,0,1,1,3,2,0.4102028211533042,0,11
2784,462,0,779,3,2,5,2,4,1,0,0,0,1,1,0,1,1,1,2,2,0.43495775403021053,1,14
3055,1325,0,86,3,2,0,2,2,3,0,0,1,0,0,0,1,0,0,1,3,0.4880910371241314,1,12
4708,450,0,188,2,2,3,3,2,1,0,0,1,0,1,0,1,0,0,3,3,0.4200305944872432,1,14
1949,1889,0,614,2,2,0,2,1,3,0,0,0,1,0,1,0,1,0,3,1,0.3531516500930435,1,5
7784,773,0,615,2,2,2,3,5,4,1,1,1,0,1,1,0,1,1,2,2,0.07107842016079746,0,14
1317,2379,0,419,5,3,4,2,5,3,1,1,1,1,0,1,0,0,1,1,2,0.7926760860713868,0,12
1578,1185,0,66,2,3,0,5,3,0,0,1,1,0,1,1,0,1,0,1,4,0.4422698435112845,1,7
11444,2820,1,617,4,2,5,0,5,0,1,0,1,0,1,1,1,1,1,2,4,0.15382132933376114,1,20
3606,800,0,247,0,2,2,5,3,4,0,0,1,1,0,1,1,0,1,1,2,0.9236428282210551,0,11
3940,317,1,206,5,1,2,2,0,2,1,1,0,1,1,0,1,1,0,3,4,0.5878844726047128,1,17
8888,2395,1,204,2,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0.3051577363137906,0,12
14406,1390,0,318,1,2,2,5,3,5,0,0,0,1,1,0,1,1,1,1,2,0.8229158461163729,2,13
11130,619,0,82,3,3,4,0,4,3,0,1,1,0,0,1,1,1,0,3,3,0.60302322799047,0,17
14552,2606,0,423,2,2,4,5,2,4,1,0,0,1,0,1,0,0,1,3,4,0.7090333548486807,1,13
5443,2023,0,81,2,2,4,1,4,1,1,1,0,0,1,1,0,0,0,3,1,0.5701144171511889,0,10
10677,595,1,798,0,1,4,5,5,3,1,1,0,0,0,0,0,1,0,2,2,0.6959414750467225,0,16
8842,2872,0,548,2,2,1,5,2,3,1,0,1,1,1,1,1,1,1,3,3,0.21413453724724363,2,18
10605,414,1,724,5,2,3,4,1,2,1,0,0,0,1,0,1,0,0,2,4,0.22562509075909087,1,16
10303,596,0,486,4,3,5,5,3,1,0,0,0,1,0,0,0,0,0,1,2,0.8096782690055905,1,10
8483,320,1,132,1,1,5,4,2,3,0,0,1,0,0,1,0,1,0,3,3,0.9995641152781598,0,17
10283,788,1,114,1,2,0,5,1,2,0,0,0,0,0,1,0,0,1,1,3,0.3485489859758759,1,9
11066,2634,1,376,2,3,1,0,4,0,1,0,0,0,1,0,0,0,1,2,0,0.2729247098700295,0,9
7563,1307,1,210,0,3,5,5,2,2,0,1,0,1,0,1,0,1,0,1,0,0.05879301567120521,0,12
2662,108,1,131,5,3,1,4,5,1,1,0,0,0,0,1,1,0,0,2,0,0.4707758204920469,1,14
7091,1324,0,373,5,1,0,4,3,2,0,0,1,0,0,1,1,1,1,1,4,0.8975574883851108,0,18
